Common_name,Ref,IUPAC_name,CAS_number,Formula,C,H,N,O,S,P,Canonical_smile,InchI,Molecular_weight MW (g/mol),pKa,Log P,Log S,Polar Surface Area,Polarizability,Hydrogen Acceptor Count,Hydrogen Donor Count,HOMO-1 (eV),HOMO (eV),LUMO (eV),Ionization Energy I (eV),Electron Affinity A (eV),Electronegativity (eV),Hardness  (eV),Electrophilicity (eV)  , ?N_Fe ,IE EXP (%)
Etidocaine,https://pubchem.ncbi.nlm.nih.gov/compound/37497,"N - (2,6-dimetilfenil) -2- [etil (propil) amino] butanamida",36637-18-0,C 17 H 28 N 2 O,17,28,2,1,0,0,"CCCN(CC)C(CC)C(=O)NC1=C(C=CC=C1C)C

","InChI = 1S / C17H28N2O / c1-6-12-19 (8-3) 15 (7-2) 17 (20) 18-16-13 (4) 10-9-11-14 (16) 5 / h9- 11,15H, 6-8,12H2,1-5H3, (H, 18,20)",276.4,7.7,4.46,-3.2,32.3,33.47,2,1,-5.785,-5.382,-1.42,5.382,1.42,3.401,1.981,0.85025,0.908379606,91.04306627
Ethoheptazine,https://pubchem.ncbi.nlm.nih.gov/compound/6469,ethyl 1-methyl-4-phenylazepane-4-carboxylate,77-15-6,C16H23NO2,16,23,1,2,0,0,CCOC(=O)C1(CCCN(CC1)C)C2=CC=CC=C2,"InChI=1S/C16H23NO2/c1-3-19-15(18)16(14-8-5-4-6-9-14)10-7-12-17(2)13-11-16/h4-6,8-9H,3,7,10-13H2,1-2H3",261.36,8.69,2.8,-2.7,29.5,29.92,3,0,-6.158,-5.082,-1.524,5.082,1.524,3.303,1.779,0.82575,1.039066892,95.81435655
Ethoxzolamide,https://www.drugbank.ca/drugs/DB00311,"6-ethoxy-1,3-benzothiazole-2-sulfonamide",452-35-7,C9H10N2O3S2,9,10,2,3,2,0,CCOC1=CC2=C(C=C1)N=C(S2)S(=O)(=O)N,"InChI=1S/C9H10N2O3S2/c1-2-14-6-3-4-7-8(5-6)15-9(11-7)16(10,12)13/h3-5H,2H2,1H3,(H2,10,12,13)",258.3,8.1,2.01,-3.81,82.28,25.27,6,1,-6.673,-6.384,-3.101,6.384,3.101,4.7425,1.6415,1.185625,0.687633262,86.38863833
Phenacetin,https://www.drugbank.ca/drugs/DB03783,N-(4-ethoxyphenyl)acetamide,62-44-2,C10H13NO2,19,13,1,2,0,0,CCOC1=CC=C(C=C1)NC(=O)C,"InChI=1S/C10H13NO2/c1-3-13-10-6-4-9(5-7-10)11-8(2)12/h4-7H,3H2,1-2H3,(H,11,12)",179.22,2.2,1.58,-2.37,38.33,19.82,2,1,-6.043,-5.294,-1.523,5.294,1.523,3.4085,1.8855,0.852125,0.952399894,89.07981811
Phenazocine,https://pubchem.ncbi.nlm.nih.gov/compound/14707,"1,13-dimethyl-10-(2-phenylethyl)-10-azatricyclo[7.3.1.02,7]trideca-2(7),3,5-trien-4-ol",127-35-5,C22H27NO,22,27,1,1,0,0,CC1C2CC3=C(C1(CCN2CCC4=CC=CC=C4)C)C=C(C=C3)O,"InChI=1S/C22H27NO/c1-16-21-14-18-8-9-19(24)15-20(18)22(16,2)11-13-23(21)12-10-17-6-4-3-5-7-17/h3-9,15-16,21,24H,10-14H2,1-2H3",321.5,8.5,4.08,-4.6,23.47,37.92,2,1,-5.669,-5.153,-1.424,5.153,1.424,3.2885,1.8645,0.822125,0.995307053,93.46339433
Phendimetrazine,https://pubchem.ncbi.nlm.nih.gov/compound/30487,"(2S,3S)-3,4-dimethyl-2-phenylmorpholine",0634-03-07,C12H17NO,12,17,1,1,0,0,CC1C(OCCN1C)C2=CC=CC=C2,"InChI=1S/C12H17NO/c1-10-12(14-9-8-13(10)2)11-6-4-3-5-7-11/h3-7,10,12H,8-9H2,1-2H3/t10-,12+/m0/s1",191.27,7.6,2.17,-1.9,12.47,22.18,2,0,-6.005,-5.333,-1.42,5.333,1.42,3.3765,1.9565,0.844125,0.926015845,95.96744017
Pheneticillin,https://pubchem.ncbi.nlm.nih.gov/compound/272833,"(2S,5R,6R)-3,3-dimethyl-7-oxo-6-(2-phenoxypropanoylamino)-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid",147-55-7,C17H20N2O5S,17,20,2,5,1,0,CC(C(=O)NC1C2N(C1=O)C(C(S2)(C)C)C(=O)O)OC3=CC=CC=C3,"InChI=1S/C17H20N2O5S/c1-9(24-10-7-5-4-6-8-10)13(20)18-11-14(21)19-12(16(22)23)17(2,3)25-15(11)19/h4-9,11-12,15H,1-3H3,(H,18,20)(H,22,23)/t9?,11-,12+,15-/m1/s1",364.4,2.7,1.33,-3,95.94,36.74,6,2,-6.351,-5.996,-1.884,5.996,1.884,3.94,2.056,0.985,0.744163424,86.73423293
Fenformina,https://pubchem.ncbi.nlm.nih.gov/compound/8249,1-(diaminomethylidene)-2-(2-phenylethyl)guanidine,114-86-3,C10H15N5,10,15,5,0,0,0,C1=CC=C(C=C1)CCN=C(N)N=C(N)N,"InChI=1S/C10H15N5/c11-9(12)15-10(13)14-7-6-8-4-2-1-3-5-8/h1-5H,6-7H2,(H6,11,12,13,14,15)",205.26,11.8,-0.83,-3,97.78,22.14,5,5,-5.625,-5.109,-1.197,5.109,1.197,3.153,1.956,0.78825,0.983384458,87.76927624
Phenylbutazone ,https://pubchem.ncbi.nlm.nih.gov/compound/4781,"4-butyl-1,2-diphenylpyrazolidine-3,5-dione",50-33-9,C19H20N2O2,19,20,2,2,0,0,CCCCC1C(=O)N(N(C1=O)C2=CC=CC=C2)C3=CC=CC=C3,"InChI=1S/C19H20N2O2/c1-2-3-14-17-18(22)20(15-10-6-4-7-11-15)21(19(17)23)16-12-8-5-9-13-16/h4-13,17H,2-3,14H2,1H3",308.4,4.4,3.16,-3.81,40.62,34.15,2,0,-6.263,-5.769,-1.9,5.769,1.9,3.8345,1.9345,0.958625,0.81817007,92.09097505
Phenylephrine ,https://pubchem.ncbi.nlm.nih.gov/compound/6041,3-[(1R)-1-hydroxy-2-(methylamino)ethyl]phenol,59-42-7,C9H13NO2,9,13,1,2,0,0,CNCC(C1=CC(=CC=C1)O)O,"InChI=1S/C9H13NO2/c1-10-6-9(12)7-3-2-4-8(11)5-7/h2-5,9-12H,6H2,1H3/t9-/m0/s1",167.2,8.97,-0.31,-0.88,52.49,18.2,3,3,-6.018,-5.812,-1.381,5.812,1.381,3.5965,2.2155,0.899125,0.768111036,88
Phenethylamine,https://pubchem.ncbi.nlm.nih.gov/compound/1001,2-phenylethanamine,64-04-0,C8H11N,8,11,1,0,0,0,C1=CC=C(C=C1)CCN,"InChI=1S/C8H11N/c9-7-6-8-4-2-1-3-5-8/h1-5H,6-7,9H2",121.18,9.8,1.41,-1.7,26.02,14.35,1,1,-6.465,-6.132,-1.393,6.132,1.393,3.7625,2.3695,0.940625,0.683161004,91.35160016
Phenylpropanolamine,https://hmdb.ca/metabolites/HMDB0001942,"(1S,2R)-2-amino-1-phenylpropan-1-ol",14838-15-4,C9H13NO,9,13,1,1,0,0,CC(C(C1=CC=CC=C1)O)N,"InChI=1S/C9H13NO/c1-7(10)9(11)8-5-3-2-4-6-8/h2-7,9,11H,10H2,1H3/t7-,9-/m1/s1",151.21,9.4,0.67,-0.87,46.25,16.89,2,2,-6.625,-6.154,-1.388,6.154,1.388,3.771,2.383,0.94275,0.677507344,88.74980291
Phenyltoloxamine,https://pubchem.ncbi.nlm.nih.gov/compound/7077,"2-(2-benzylphenoxy)-N,N-dimethylethanamine",92-12-6,C17H21NO,17,21,1,1,0,0,CN(C)CCOC1=CC=CC=C1CC2=CC=CC=C2,"InChI=1S/C17H21NO/c1-18(2)12-13-19-17-11-7-6-10-16(17)14-15-8-4-3-5-9-15/h3-11H,12-14H2,1-2H3",255.35,9.1,3.51,-3.8,12.47,29.99,2,0,-5.888,-5.284,-1.549,5.284,1.549,3.4165,1.8675,0.854125,0.959437751,96.34236797
Phenindamine,https://pubchem.ncbi.nlm.nih.gov/compound/11291,"2-methyl-9-phenyl-1,3,4,9-tetrahydroindeno[2,1-c]pyridine",82-88-2,C19H19N,19,19,1,0,0,0,CN1CCC2=C(C1)C(C3=CC=CC=C23)C4=CC=CC=C4,"InChI=1S/C19H19N/c1-20-12-11-16-15-9-5-6-10-17(15)19(18(16)13-20)14-7-3-2-4-8-14/h2-10,19H,11-13H2,1H3",261.4,8.3,3.62,-4,3.24,31.13,1,0,-5.596,-5.232,-1.947,5.232,1.947,3.5895,1.6425,0.897375,1.038203957,95.36101555
Phenyramidol,https://pubchem.ncbi.nlm.nih.gov/compound/9470,1-phenyl-2-(pyridin-2-ylamino)ethanol,553-69-5,C13H14N2O,13,14,2,1,0,0,C1=CC=C(C=C1)C(CNC2=CC=CC=N2)O,"InChI=1S/C13H14N2O/c16-12(11-6-2-1-3-7-11)10-15-13-8-4-5-9-14-13/h1-9,12,16H,10H2,(H,14,15)",214.26,5.9,1.92,-2.4,45.15,23.71,3,2,-6.308,-5.657,-1.602,5.657,1.602,3.6295,2.0275,0.907375,0.831196054,92.62907151
Pheniramine,https://pubchem.ncbi.nlm.nih.gov/compound/4761,"N,N-dimethyl-3-phenyl-3-pyridin-2-ylpropan-1-amine",86-21-5,C16H20N2,16,20,2,0,0,0,CN(C)CCC(C1=CC=CC=C1)C2=CC=CC=N2,"InChI=1S/C16H20N2/c1-18(2)13-11-15(14-8-4-3-5-9-14)16-10-6-7-12-17-16/h3-10,12,15H,11,13H2,1-2H3",240.34,9.3,2.98,-2.8,16.13,28.41,2,0,-6.106,-5.183,-1.723,5.183,1.723,3.453,1.73,0.86325,1.025144509,98
Phenytoin,https://pubchem.ncbi.nlm.nih.gov/compound/1775,"5,5-diphenylimidazolidine-2,4-dione",57-41-0,C15H12N2O2,15,12,2,2,0,0,C1=CC=C(C=C1)C2(C(=O)NC(=O)N2)C3=CC=CC=C3,"InChI=1S/C15H12N2O2/c18-13-15(17-14(19)16-13,11-7-3-1-4-8-11)12-9-5-2-6-10-12/h1-10H,(H2,16,17,18,19)",252.27,8.3,2.47,-3.6,58.2,58.2,2,2,-6.748,-6.445,-2.016,6.445,2.016,4.2305,2.2145,1.057625,0.625310454,89.4
Phenmetrazine,https://pubchem.ncbi.nlm.nih.gov/compound/4762,3-methyl-2-phenylmorpholine,134-49-6,C11H15NO,11,15,1,1,0,0,CC1C(OCCN1)C2=CC=CC=C2,"InChI=1S/C11H15NO/c1-9-11(13-8-7-12-9)10-5-3-2-4-6-10/h2-6,9,11-12H,7-8H2,1H3",177.24,8.5,1.79,-1.9,21.26,20.1,2,1,-6.148,-5.56,-1.398,5.56,1.398,3.479,2.081,0.86975,0.845987506,95.9431123
Phenobarbital,https://pubchem.ncbi.nlm.nih.gov/compound/4763,"5-ethyl-5-phenyl-1,3-diazinane-2,4,6-trione",50-06-6,C12H12N2O3,12,12,2,3,0,0,CCC1(C(=O)NC(=O)NC1=O)C2=CC=CC=C2,"InChI=1S/C12H12N2O3/c1-2-12(8-6-4-3-5-7-8)9(15)13-11(17)14-10(12)16/h3-7H,2H2,1H3,(H2,13,14,15,16,17)",232.23,7.5,1.47,-2.9,75.27,22.62,3,2,-6.939,-6.72,-2.502,6.72,2.502,4.611,2.109,1.15275,0.566382172,95
Phenolphthalein,https://pubchem.ncbi.nlm.nih.gov/compound/4764,"3,3-bis(4-hydroxyphenyl)-2-benzofuran-1-one",77-09-8,C20H14O4,20,14,0,4,0,0,C1=CC=C2C(=C1)C(=O)OC2(C3=CC=C(C=C3)O)C4=CC=C(C=C4)O,"InChI=1S/C20H14O4/c21-15-9-5-13(6-10-15)20(14-7-11-16(22)12-8-14)18-4-2-1-3-17(18)19(23)24-20/h1-12,21-22H",318.3,9.7,2.41,-4.5,66.76,32.65,3,2,-6.167,-6.067,-2.601,6.067,2.601,4.334,1.733,1.0835,0.769186382,84.67
Fenoprofen,https://pubchem.ncbi.nlm.nih.gov/compound/3342,2-(3-phenoxyphenyl)propanoic acid,29679-58-1,C15H14O3,15,14,0,4,0,0,CC(C1=CC(=CC=C1)OC2=CC=CC=C2)C(=O)O,"InChI=1S/C15H14O3/c1-11(15(16)17)12-6-5-9-14(10-12)18-13-7-3-2-4-8-13/h2-11H,1H3,(H,16,17)",242.27,4.5,3.65,-3.5,46.53,25.3,2,1,-6.503,-5.942,-1.819,5.942,1.819,3.8805,2.0615,0.970125,0.756609265,81.60550177
Phentermine,https://pubchem.ncbi.nlm.nih.gov/compound/4771,2-methyl-1-phenylpropan-2-amine,0122-09-08,C10H15N,10,15,1,0,0,0,CC(C)(CC1=CC=CC=C1)N,"InChI=1S/C10H15N/c1-10(2,11)8-9-6-4-3-5-7-9/h3-7H,8,11H2,1-2H3",290.512697,10.1,2.08,-2.3,26.02,17.87,1,1,-6.654,-6.029,-1.381,6.029,1.381,3.705,2.324,0.92625,0.708907057,86.60682677
Phenoxypropazine,https://pubchem.ncbi.nlm.nih.gov/compound/71467,1-phenoxypropan-2-ylhydrazine,3818-37-9,C9H14N2O,9,14,2,1,0,0,CC(COC1=CC=CC=C1)NN,"InChI=1S/C9H14N2O/c1-8(11-10)7-12-9-5-3-2-4-6-9/h2-6,8,11H,7,10H2,1H3",166.22,6.9,1.25,-1.4,47.28,18.67,3,2,-5.79,-5.695,-1.413,5.695,1.413,3.554,2.141,0.8885,0.804764129,86.93151815
Phentolamine,https://pubchem.ncbi.nlm.nih.gov/compound/5775,"3-[N-(4,5-dihydro-1H-imidazol-2-ylmethyl)-4-methylanilino]phenol",50-60-2,C17H19N3O,17,19,3,1,0,0,CC1=CC=C(C=C1)N(CC2=NCCN2)C3=CC(=CC=C3)O,"InChI=1S/C17H19N3O/c1-13-5-7-14(8-6-13)20(12-17-18-9-10-19-17)15-3-2-4-16(21)11-15/h2-8,11,21H,9-10,12H2,1H3,(H,18,19)",281.35,7.7,2.52,-3,47.86,31.37,4,2,-5.512,-5.158,-1.662,5.158,1.662,3.41,1.748,0.8525,1.026887872,90.86567337
Fluorouracile,https://pubchem.ncbi.nlm.nih.gov/compound/131769926,"(1R,9S,12S,13R,14S,17R,18Z,21S,23S,24S,25S,27R)-1,14,25-trihydroxy-12-[(E)-1-[(1R,3R,4R)-4-hydroxy-3-methoxycyclohexyl]prop-1-en-2-yl]-23-methoxy-13,19,21,27-tetramethyl-17-prop-2-enyl-11,28-dioxa-4-azatricyclo[22.3.1.04,9]octacos-18-ene-2,3,10,16-tetrone",not available,C43H67NO12,43,67,1,12,0,0,CC1CC(C2C(CC(C(O2)(C(=O)C(=O)N3CCCCC3C(=O)OC(C(C(CC(=O)C(C=C(C1)C)CC=C)O)C)C(=CC4CCC(C(C4)OC)O)C)O)C)O)OC,"InChI=1S/C43H67NO12/c1-9-12-30-18-24(2)17-25(3)19-37(54-8)39-35(48)21-27(5)43(52,56-39)40(49)41(50)44-16-11-10-13-31(44)42(51)55-38(28(6)33(46)23-34(30)47)26(4)20-29-14-15-32(45)36(22-29)53-7/h9,18,20,25,27-33,35-39,45-46,48,52H,1,10-17,19,21-23H2,2-8H3/b24-18-,26-20+/t25-,27+,28+,29-,30+,31-,32+,33-,35-,36+,37-,38+,39-,43+/m0/s1",790,9.96,4.95,-5,189.36,86.08,12,4,-5.919,-5.841,-3.259,5.841,3.259,4.55,1.291,1.1375,0.94887684,90.2784267
Gentamicina,https://pubchem.ncbi.nlm.nih.gov/compound/3467,"2-[4,6-diamino-3-[3-amino-6-[1-(methylamino)ethyl]oxan-2-yl]oxy-2-hydroxycyclohexyl]oxy-5-methyl-4-(methylamino)oxane-3,5-diol",1403-66-3,C21H43N5O7,21,43,5,7,0,0,CC(C1CCC(C(O1)OC2C(CC(C(C2O)OC3C(C(C(CO3)(C)O)NC)O)N)N)N)NC,"InChI=1S/C21H43N5O7/c1-9(25-3)13-6-5-10(22)19(31-13)32-16-11(23)7-12(24)17(14(16)27)33-20-15(28)18(26-4)21(2,29)8-30-20/h9-20,25-29H,5-8,22-24H2,1-4H3",477.6,8.2,-3.1,-1.6,199.73,51.92,12,8,-5.583,-5.503,4.859,5.503,-4.859,0.322,5.181,0.0805,0.64447018,84.65
Gluconic acid,https://hmdb.ca/metabolites/HMDB0000625,"(2 R , 3 S , 4 R , 5 R ) Ácido -2,3,4,5,6-pentahidroxihexanoico",133-42-6,C 6 H 12 O 7,6,12,0,7,0,0,"C(C(C(C(C(C(=O)O)O)O)O)O)O

","InChI = 1S / C6H12O7 / c7-1-2 (8) 3 (9) 4 (10) 5 (11) 6 (12) 13 / h2-5,7-11H, 1H2, (H, 12,13) ​​/ t2-, 3-, 4 +, 5- / m1 / s1",196.16,3.6,-3.4,-0.09,138.45,138.45,7,6,-6.986,-6.756,-1.177,6.756,1.177,3.9665,2.7895,0.991625,0.543735436,94.90000341
D-Glucuronic acid,https://hmdb.ca/metabolites/HMDB0000127,"(2S,3S,4S,5R,6S)-3,4,5,6-tetrahydroxyoxane-2-carboxylic acid",12/3/6556 0:00,C6H10O7,6,10,0,7,0,0,C1(C(C(OC(C1O)O)C(=O)O)O)O,"InChI=1S/C6H10O7/c7-1-2(8)4(5(10)11)13-6(12)3(1)9/h1-4,6-9,12H,(H,10,11)/t1-,2-,3+,4-,6?/m0/s1",194.14,3.2,-2.57,0.18,127.45,16.32,7,5,-7.026,-6.441,-1.125,6.441,1.125,3.783,2.658,0.94575,0.605154251,92.15931918
Glutethimide,https://pubchem.ncbi.nlm.nih.gov/compound/3487,"3-ethyl-3-phenylpiperidine-2,6-dione",77-21-4,C13H15NO2,13,15,1,2,0,0,CCC1(CCC(=O)NC1=O)C2=CC=CC=C2,"InChI=1S/C13H15NO2/c1-2-13(10-6-4-3-5-7-10)9-8-11(15)14-12(13)16/h3-7H,2,8-9H2,1H3,(H,14,15,16)",217.26,11.8,1.9,-2.34,46.17,23.15,2,1,-6.647,-6.448,-2.006,6.448,2.006,4.227,2.221,1.05675,0.624268348,87.03293122
Guanethidine,https://pubchem.ncbi.nlm.nih.gov/compound/3518,2-[2-(azocan-1-yl)ethyl]guanidine,55-65-2,C10H22N4,10,22,4,0,0,0,C1CCCN(CCC1)CCN=C(N)N,"InChI=1S/C10H22N4/c11-10(12)13-6-9-14-7-4-2-1-3-5-8-14/h1-9H2,(H4,11,12,13)",198.31,11.9,0.74,-2,67.64,23.67,4,2,-5.514,-4.67,0.519,4.67,-0.519,2.0755,2.5945,0.518875,0.949026787,87.56832684
Guanoxan,https://pubchem.ncbi.nlm.nih.gov/compound/16564,"2-(2,3-dihydro-1,4-benzodioxin-3-ylmethyl)guanidine",2165-19-7,C10H13N3O2,10,13,3,2,0,0,C1C(OC2=CC=CC=C2O1)CN=C(N)N,"InChI=1S/C10H13N3O2/c11-10(12)13-5-7-6-14-8-3-1-2-4-9(8)15-7/h1-4,7H,5-6H2,(H4,11,12,13)",207.23,12.3,0.42,-2.2,80.36,21.58,5,3,-5.754,-5.332,-1.212,5.332,1.212,3.272,2.06,0.818,0.904854369,87.5085971
Diamorphine,https://pubchem.ncbi.nlm.nih.gov/compound/5462328,"(1S,5R,13R,14S,17R)-10-(acetyloxy)-4-methyl-12-oxa-4-azapentacyclo[9.6.1.0^{1,13}.0^{5,17}.0^{7,18}]octadeca-7(18),8,10,15-tetraen-14-yl acetate",561-27-3,C21H23NO5,21,23,1,5,0,0,"CC(=O)OC1C=CC2C3CC4=C5C2(C1OC5=C(C=C4)OC(=O)C)CCN3C

","InChI = 1S / C21H23NO5 / c1-11 (23) 25-16-6-4-13-10-15-14-5-7-17 (26-12 (2) 24) 20-21 (14,8- 9-22 (15) 3) 18 (13) 19 (16) 27-20 / h4-7,14-15,17,20H, 8-10H2,1-3H3 / t14-, 15 +, 17-, 20 -, 21- / m0 / s1",369.4,7.8,1.58,3.1,65.07,65.07,4,0,-5.531,-5.348,-1.528,5.348,1.528,3.438,1.91,0.8595,0.932460733,93.06026142
Hexylcaine,https://pubchem.ncbi.nlm.nih.gov/compound/10770,1-(cyclohexylamino)propan-2-yl benzoate,532-77-4,C16H23NO2,16,23,1,2,0,0,CC(CNC1CCCCC1)OC(=O)C2=CC=CC=C2,"InChI=1S/C16H23NO2/c1-13(12-17-15-10-6-3-7-11-15)19-16(18)14-8-4-2-5-9-14/h2,4-5,8-9,13,15,17H,3,6-7,10-12H2,1H3",261.36,9.1,3.9,-4.4,38.33,30.29,2,1,-6.395,-5.515,-2.531,5.515,2.531,4.023,1.492,1.00575,0.997654155,92.14302462
Hexobarbital,https://pubchem.ncbi.nlm.nih.gov/compound/3608,"5-(cyclohexen-1-yl)-1,5-dimethyl-1,3-diazinane-2,4,6-trione",56-29-1,C12H16N2O3,12,16,2,3,0,0,CC1(C(=O)NC(=O)N(C1=O)C)C2=CCCCC2,"InChI=1S/C12H16N2O3/c1-12(8-6-4-3-5-7-8)9(15)13-11(17)14(2)10(12)16/h6H,3-5,7H2,1-2H3,(H,13,15,17)",236.27,8.3,1.98,-2.74,66.48,66.48,3,1,-6.872,-6.321,-2.29,6.321,2.29,4.3055,2.0155,1.076375,0.668444555,88.80194798
Hydrocodone,https://pubchem.ncbi.nlm.nih.gov/compound/5284569,"(4R,4aR,7aR,12bS)-9-methoxy-3-methyl-1,2,4,4a,5,6,7a,13-octahydro-4,12-methanobenzofuro[3,2-e]isoquinolin-7-one",125-29-1,C18H21NO3,18,21,1,3,0,0,CN1CCC23C4C1CC5=C2C(=C(C=C5)OC)OC3C(=O)CC4,"InChI=1S/C18H21NO3/c1-19-8-7-18-11-4-5-13(20)17(18)22-16-14(21-2)6-3-10(15(16)18)9-12(11)19/h3,6,11-12,17H,4-5,7-9H2,1-2H3/t11-,12+,17-,18-/m0/s1",299.4,8.9,1.96,-2.6,38.77,32.05,4,0,-5.344,-5.316,-1.586,5.316,1.586,3.451,1.865,0.86275,0.951474531,92.72828948
Hydrocortisone,https://pubchem.ncbi.nlm.nih.gov/compound/5754,"(8S,9S,10R,11S,13S,14S,17R)-11,17-dihydroxy-17-(2-hydroxyacetyl)-10,13-dimethyl-2,6,7,8,9,11,12,14,15,16-decahydro-1H-cyclopenta[a]phenanthren-3-one",50-23-7,C21H30O5,21,30,0,5,0,0,CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4(C(=O)CO)O)C)O,"InChI=1S/C21H30O5/c1-19-7-5-13(23)9-12(19)3-4-14-15-6-8-21(26,17(25)11-22)20(15,2)10-16(24)18(14)19/h9,14-16,18,22,24,26H,3-8,10-11H2,1-2H3/t14-,15-,16-,18+,19-,20-,21-/m0/s1",362.5,12.59,1.61,-2.97,94.83,39.45,5,3,-6.477,-5.803,-2.575,5.803,2.575,4.189,1.614,1.04725,0.870817844,89.36991198
Hydromorphone,https://pubchem.ncbi.nlm.nih.gov/compound/5284570,"(4R,4aR,7aR,12bS)-9-hydroxy-3-methyl-1,2,4,4a,5,6,7a,13-octahydro-4,12-methanobenzofuro[3,2-e]isoquinolin-7-one",466-99-9,C17H19NO3,17,19,1,3,0,0,CN1CCC23C4C1CC5=C2C(=C(C=C5)O)OC3C(=O)CC4,"InChI=1S/C17H19NO3/c1-18-7-6-17-10-3-5-13(20)16(17)21-15-12(19)4-2-9(14(15)17)8-11(10)18/h2,4,10-11,16,19H,3,5-8H2,1H3/t10-,11+,16-,17-/m0/s1",285.34,8.15,1.62,-1.8,49.77,30.02,4,1,-5.463,-5.315,-1.487,5.315,1.487,3.401,1.914,0.85025,0.940177638,91.12224971
Histamine,https://www.drugbank.ca/drugs/DB05381,2-(1H-imidazol-4-yl)ethan-1-amine,51-45-6,C5H9N3,5,9,3,0,0,0,NCCC1=CNC=N1,"InChI=1S/C5H9N3/c6-2-1-5-3-7-4-8-5/h3-4H,1-2,6H2,(H,7,8)",111.1451,14.46,-0.7,0.18,54.7,12.08,2,2,-5.923,-5.549,-0.315,5.549,0.315,2.932,2.617,0.733,0.777225831,95.6
Ibuprofen,https://pubchem.ncbi.nlm.nih.gov/compound/3672,2-[4-(2-methylpropyl)phenyl]propanoic acid,15687-27-1,C13H18O2,13,18,0,2,0,0,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,"InChI=1S/C13H18O2/c1-9(2)8-11-4-6-12(7-5-11)10(3)13(14)15/h4-7,9-10H,8H2,1-3H3,(H,14,15)",206.28,5.2,3.97,-3.5,37.3,23.76,2,1,-6.734,-6.284,-1.57,6.284,1.57,3.927,2.357,0.98175,0.651887993,84.10808238
Imidazole,https://pubchem.ncbi.nlm.nih.gov/compound/795,1H-imidazole,288-32-4,C3H4N2,3,4,2,0,0,0,C1=CN=CN1,"InChI=1S/C3H4N2/c1-2-5-3-4-1/h1-3H,(H,4,5)",68.08,7,-0.08,0.9,28.68,6.56,1,1,-6.378,-5.805,-0.375,5.805,0.375,3.09,2.715,0.7725,0.720073665,89
Imipramine,https://pubchem.ncbi.nlm.nih.gov/compound/3696,"3-(5,6-dihydrobenzo[b][1]benzazepin-11-yl)-N,N-dimethylpropan-1-amine",50-49-7,C19H24N2,19,24,2,0,0,0,CN(C)CCCN1C2=CC=CC=C2CCC3=CC=CC=C31,"InChI=1S/C19H24N2/c1-20(2)14-7-15-21-18-10-5-3-8-16(18)12-13-17-9-4-6-11-19(17)21/h3-6,8-11H,7,12-15H2,1-2H3",280.4,9.5,4.8,-3.6,6.48,33.39,1,0,-5.327,-4.886,-1.443,4.886,1.443,3.1645,1.7215,0.791125,1.113999419,94.32798012
Indoprofen,https://pubchem.ncbi.nlm.nih.gov/compound/3718,2-[4-(3-oxo-1H-isoindol-2-yl)phenyl]propanoic acid,31842-01-0,C17H15NO3,17,15,1,3,0,0,CC(C1=CC=C(C=C1)N2CC3=CC=CC=C3C2=O)C(=O)O,"InChI=1S/C17H15NO3/c1-11(17(20)21)12-6-8-14(9-7-12)18-10-13-4-2-3-5-15(13)16(18)19/h2-9,11H,10H2,1H3,(H,20,21)",281.3,5.8,2.86,-3.3,57.61,30.24,3,1,-6.117,-5.758,-2.669,5.758,2.669,4.2135,1.5445,1.053375,0.902071868,92.39197608
Indoramin,https://pubchem.ncbi.nlm.nih.gov/compound/33625,N-[1-[2-(1H-indol-3-yl)ethyl]piperidin-4-yl]benzamide,,C22H25N3O,22,25,3,1,0,0,C1CN(CCC1NC(=O)C2=CC=CC=C2)CCC3=CNC4=CC=CC=C43,"InChI=1S/C22H25N3O/c26-22(17-6-2-1-3-7-17)24-19-11-14-25(15-12-19)13-10-18-16-23-21-9-5-4-8-20(18)21/h1-9,16,19,23H,10-15H2,(H,24,26)",347.5,7.7,3.19,-4.6,48.13,40.72,2,2,-5.491,-5.138,-2.114,5.138,2.114,3.626,1.512,0.9065,1.115740741,92.75350251
Isocarboxazid,https://pubchem.ncbi.nlm.nih.gov/compound/3759,"N'-benzyl-5-methyl-1,2-oxazole-3-carbohydrazide",59-63-2,C12H13N3O2,12,13,3,2,0,0,CC1=CC(=NO1)C(=O)NNCC2=CC=CC=C2,"InChI=1S/C12H13N3O2/c1-9-7-11(15-17-9)12(16)14-13-8-10-5-3-2-4-6-10/h2-7,13H,8H2,1H3,(H,14,16)",231.25,10.4,1.43,-3,67.16,24.51,3,2,-6.019,-5.76,-2.18,5.76,2.18,3.97,1.79,0.9925,0.846368715,87.40465606
Isoniazid,https://pubchem.ncbi.nlm.nih.gov/compound/3767,pyridine-4-carbohydrazide,54-85-3,C6H7N3O,6,7,3,1,0,0,C1=CN=CC=C1C(=O)NN,"InChI=1S/C6H7N3O/c7-9-6(10)5-1-3-8-4-2-5/h1-4H,7H2,(H,9,10)",137.14,1.82,-0.7,0.01,68.01,13.21,3,2,-6.544,-6.088,-2.67,6.088,2.67,4.379,1.709,1.09475,0.766822703,75.4
